drug_concept_name,condition_concept_name,PRR,mean_reporting_frequency,drug_concept_name_tokens,condition_concept_name_tokens
ergoloid mesylates usp,blood pressure increased,4.34783,0.0757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2668, 3778, 3445, 102]"
ergoloid mesylates usp,blood alkaline phosphatase increased,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2668, 2632, 28613, 2638, 6887, 2891, 21890, 18260, 3445, 102]"
ergoloid mesylates usp,platelet count decreased,2.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 5127, 7485, 4175, 10548, 102]"
ergoloid mesylates usp,haemoglobin decreased,3.33333,0.0378788,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 5292, 6633, 8649, 4135, 8428, 10548, 102]"
ergoloid mesylates usp,red blood cell count decreased,20.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2417, 2668, 3526, 4175, 10548, 102]"
ergoloid mesylates usp,neutrophil count decreased,2.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11265, 4904, 18981, 19466, 4175, 10548, 102]"
ergoloid mesylates usp,white blood cell count increased,2.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2317, 2668, 3526, 4175, 3445, 102]"
ergoloid mesylates usp,gammaglutamyltransferase increased,5.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 13091, 23296, 13210, 8029, 7096, 5521, 22747, 24140, 2063, 3445, 102]"
ergoloid mesylates usp,blood glucose decreased,3.33333,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2668, 18423, 10548, 102]"
ergoloid mesylates usp,blood glucose increased,1.11111,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2668, 18423, 3445, 102]"
ergoloid mesylates usp,electroencephalogram abnormal,20.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 16175, 10127, 21890, 24915, 19470, 102]"
